Nombre Institución;Tipo Institución;Nombre de la Sede;Comuna donde se imparte la carrera o programa;Nombre Region;Orden Geográfico de la Región (Norte aSur);Carrera Genérica;Nombre Programa;Area Conocimiento;Vacantes (1)
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;30
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;30
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;30
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;15
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;15
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;15
I.P. INACAP;I.P.;Punta Arenas;Punta Arenas;Región de Magallanes;16;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;15
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;30
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;30
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;15
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería Ambiental;Ingeniería en Energía;Tecnología;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;45
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;50
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;20
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;60
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;45
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;30
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;20
I.P. INACAP;I.P.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;30
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;35
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;25
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;25
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;35
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;30
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;30
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;40
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;30
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;30
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería Eléctrica  y similares;Ingeniería Eléctrica;Tecnología;40
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería Electrónica y similares;Ingeniería en Electrónica y Sistemas Inteligentes;Tecnología;45
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería Electrónica y similares;Ingeniería en Electrónica y Sistemas Inteligentes;Tecnología;30
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería Electrónica y similares;Ingeniería en Electrónica y Sistemas Inteligentes;Tecnología;20
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;20
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;25
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;10
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;50
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;20
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;10
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Ingeniería en Automatización, Control Industrial y similares;Ingeniería en Automatización y Robótica;Tecnología;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;35
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;30
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;30
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;15
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;65
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;10
I.P. INACAP;I.P.;Copiapó;Copiapó;Región de Atacama;4;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;35
I.P. INACAP;I.P.;Copiapó;Copiapó;Región de Atacama;4;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;30
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;25
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;40
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;30
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;75
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;25
I.P. INACAP;I.P.;Renca;Las Condes;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;40
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;30
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;75
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;45
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;35
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;Renca;Ñuñoa;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;25
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;35
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;25
I.P. INACAP;I.P.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;20
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;90
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;70
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;80
I.P. INACAP;I.P.;Renca;Santiago;Región Metropolitana;7;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;50
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;45
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;50
I.P. INACAP;I.P.;Temuco;Temuco;Región de La Araucanía;12;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;50
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;35
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;35
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Computación e Informática y similares;Ingeniería en Informática;Tecnología;25
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Computación e Informática y similares;Ingeniería en Informática (P.E.);Tecnología;40
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Geomensura y similares;Ingeniería en Geomensura;Tecnología;20
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Geomensura y similares;Ingeniería en Geomensura;Tecnología;15
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Geomensura y similares;Ingeniería en Geomensura;Tecnología;10
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;35
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;20
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;20
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;25
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;25
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;30
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;20
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;25
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;13
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;25
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería en Logística y similares;Ingeniería en Logística;Tecnología;45
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Logística y similares;Ingeniero en Logística;Tecnología;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;50
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;50
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;30
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;20
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;25
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;25
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;20
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;40
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;30
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;20
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;20
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;20
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;30
I.P. INACAP;I.P.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;10
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;40
I.P. INACAP;I.P.;Rancagua;Rancagua;Región del Gral. B. O`Higgins;8;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;30
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;20
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;15
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;15
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;35
I.P. INACAP;I.P.;Talca;Talca;Región del Maule;9;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;30
I.P. INACAP;I.P.;Concepción - Talcahuano;Talcahuano;Región del Bío-Bío;10;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;35
I.P. INACAP;I.P.;Valdivia;Valdivia;Región de los Ríos;13;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;30
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;40
I.P. INACAP;I.P.;Valparaíso;Valparaíso;Región de Valparaíso;6;Ingeniería en Mantenimiento Industrial y similares;Ingeniería en Mantenimiento Industrial;Tecnología;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;50
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;50
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;50
I.P. INACAP;I.P.;Calama;Calama;Región de Antofagasta;3;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;50
I.P. INACAP;I.P.;Copiapó;Copiapó;Región de Atacama;4;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;65
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;30
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;35
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;50
I.P. INACAP;I.P.;Renca;Renca;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;50
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;50
I.P. INACAP;I.P.;San Pedro de la Paz;San Pedro de La Paz;Región del Bío-Bío;10;Ingeniería en Mecánica Automotriz;Ingeniería en Maquinaria Pesada y Vehículos Automotrices;Tecnología;35
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Antofagasta;Antofagasta;Región de Antofagasta;3;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;45
I.P. INACAP;I.P.;Arica;Arica;Región de Arica y Parinacota;1;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;35
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;105
I.P. INACAP;I.P.;Chillán;Chillán;Región de Ñuble;11;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Copiapó;Copiapó;Región de Atacama;4;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Coyhaique;Coyhaique;Región de Aysén;15;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Curicó;Curicó;Región del Maule;9;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;20
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Iquique;Iquique;Región de Tarapacá;2;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;20
I.P. INACAP;I.P.;Renca;La Granja;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;20
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;95
I.P. INACAP;I.P.;La Serena;La Serena;Región de Coquimbo;5;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;35
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;50
I.P. INACAP;I.P.;Los Ángeles;Los Ángeles;Región del Bío-Bío;10;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Renca;Macul;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;70
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;55
I.P. INACAP;I.P.;Renca;Maipú;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;55
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
I.P. INACAP;I.P.;Osorno;Osorno;Región de Los Lagos;14;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;25
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;50
I.P. INACAP;I.P.;Puente Alto;Puente Alto;Región Metropolitana;7;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;45
I.P. INACAP;I.P.;Puerto Montt;Puerto Montt;Región de Los Lagos;14;Ingeniería en Mecánica Automotriz;Ingeniería en Mecánica y Electromovilidad Automotriz;Tecnología;30
